phone_no_m,sms_total,sms_unique_contacts,sms_active_hours,sms_peak_hour,sms_active_days,sms_peak_day,sms_send_recv_ratio
0251387744988114430181c3e680a3733001a26fe686bdc1e64dfeaecd5d9e6f137df7f2a8d0a5871bcf6f371cab5bd313f18abcdf4cc03a9dfae17de2da6545,3,1,1,12,1,1,0.0
296cfae1d838070c4dd05a125a85c3d29bbb95f713c2eaee0d84e7192ae0f74d47bbeb1851078c044bcf2ff919423ea8e32ac715e81e8842d3afe46bf752252f,1,1,1,17,1,1,0.0
39de6ef3a87b8e660e42496450c54b731f3621ca708944b2df5ae56b77968ebacddd39a6576caa7a3d8d489b75e037da04eedec93f39a887bafd45f17772b59a,25,9,10,14,1,1,0.08695648393196351
7d82b7b2a55085cbda35f38e2737cf174703f7cba658354a7341ec2ca5fc410d0c87f3670e9b448276b0912541145754b1e8eddf40dfec9416d15e891a668b1c,9,6,5,14,1,1,0.0
be23b76c58dac6eaaaa1f997c7320db5112eaa2d266aebc322e73f06123104aa9fb5e925752804d412ffdcf2a09ba9a804ab6cfc37717b186e633ef8fcd72c3d,1,1,1,9,1,1,0.0
9dfeef47eaacbdab417cd755841b43b53ec5406c685cde6b0c2323aa142e0f9f37c237e2771c4b4d97bf4ad6555a74073f7c0e3fe81269a55bad9261d27615e1,1,1,1,9,1,1,0.0
2e46ead6b8eeb47fb4f217b4a1a2717b33533c0718f4ea809f067eb5150b5434dbf0391806583d1b38c1a24bf176ae8eda4893c69dbde6c33107b857044ee311,4,4,3,11,1,1,0.0
5facd4632f6983ee24da8775112ea8d9489a2ddcb8a488b0495221aa40cafb4da25c7254b32a95c2fafd9f84cf86a2fa51b5d7ecd53ab9880129773bf60d0194,5,3,2,14,1,1,0.0
6d351953b186c5003c515caa1520e82c016cbc8c518b9c5198a36a46b7354febfaf6dc6ac3423e68c2efc4da0eb7e8dfe3b7ec2afcc109d70bb59802c9349653,2,1,1,10,1,1,0.0
28b265a26349a1d99af07f9f8156a0a2eff3a905fd15ffa545001b1ba5f0d14ea07f3b7e4309f87adb43b7b1fa6e7468f1ded8510376a96bab31121ffe00680c,34,3,4,14,1,1,0.21428563775512938
5cb971cba69b30ae754580c21ff34f22f3a941632308c484a15eab322022482f903728dbaa61046009b6c5b21ccd578c40a666262bf229f59d9b639ef952d6e0,5,4,3,9,1,1,0.0
262a5f54cb1d0b96d55e05122b0fd7aceec49e285cd6a3c3cd6c5c75b0b7029e987fa212515c91a8dd4d7072e0e7d9e0a42fa650b538353e2678aaa1a7761a8d,10,4,4,10,1,1,0.0
